Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Data_excell/Data_excell,Chrome 108.0.0.0,,,2022-12-26 11:00:42,2022-12-26 11:00:55,13.556s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-26 11:00:42,2022-12-26 11:00:43,1.718s,PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 108.0.0.0,,,2022-12-26 11:00:43,2022-12-26 11:00:49,5.653s,PASSED
waitForPageLoad(30),Chrome 108.0.0.0,,,2022-12-26 11:00:49,2022-12-26 11:00:49,0.021s,PASSED
maximizeWindow(),Chrome 108.0.0.0,,,2022-12-26 11:00:49,2022-12-26 11:00:49,0.382s,PASSED
"setText(findTestObject(""Object Repository/Data_externaExc/Page_ToolsQA/input_Name_firstName""), nombre)",Chrome 108.0.0.0,,,2022-12-26 11:00:49,2022-12-26 11:00:51,1.504s,PASSED
"setText(findTestObject(""Object Repository/Data_externaExc/Page_ToolsQA/input_Name_lastName""), apellido)",Chrome 108.0.0.0,,,2022-12-26 11:00:51,2022-12-26 11:00:52,0.907s,PASSED
"setText(findTestObject(""Object Repository/Data_externaExc/Page_ToolsQA/input_Email_userEmail""), email)",Chrome 108.0.0.0,,,2022-12-26 11:00:52,2022-12-26 11:00:53,1.069s,PASSED
delay(2),Chrome 108.0.0.0,,,2022-12-26 11:00:53,2022-12-26 11:00:55,2.006s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-26 11:00:55,2022-12-26 11:00:55,0.284s,PASSED
